trait,strain,delta,p,ci_low,ci_high,n,p_adj,delta_aligned,z
Chl total,AJ 1.2,0.7291287401883932,0.12434480046509898,-0.20230437794900513,1.6605618583257917,80,0.17866568756958254,0.7291287401883932,1.0
Chl total,CMg,0.03964060784979609,0.7465181969288052,-0.2017236046062441,0.2810048203058363,80,0.7465181969288052,0.03964060784979609,0.0
Chl total,DKB 58,0.4872143104159601,0.14293255005566605,-0.16585747305507492,1.1402860938869952,80,0.17866568756958254,0.4872143104159601,0.6491390954737526
Chl total,DKB 64,0.6606236416190565,0.10164840770951943,-0.13139772974180997,1.4526450129799229,80,0.17866568756958254,0.6606236416190565,0.9006435421346819
Chl total,DLGB 2,0.3807614648998167,0.0061965911060553195,0.10922310861144102,0.6522998211881924,80,0.030982955530276596,0.3807614648998167,0.49474507399135526
Carotenoids,AJ 1.2,0.3126498304608899,0.033161208500484096,0.025198067904381893,0.6001015930173978,80,0.04885195808789435,0.3126498304608899,1.0
Carotenoids,CMg,-0.03348982791198023,0.3765888717216717,-0.10797780449079636,0.040998148666835904,80,0.3765888717216717,-0.03348982791198023,0.0
Carotenoids,DKB 58,0.21227309435369016,0.039081566470315486,0.010727077168826538,0.4138191115385538,80,0.04885195808789435,0.21227309435369016,0.7100108765951589
Carotenoids,DKB 64,0.28303050673086155,0.02343663355706526,0.03860293083000152,0.5274580826317216,80,0.04885195808789435,0.28303050673086155,0.9144295575107961
Carotenoids,DLGB 2,0.11216656865548796,0.008930910467431786,0.028366478668482964,0.19596665864249296,80,0.044654552337158926,0.11216656865548796,0.4208023930345582
Photosyntetic rate (A) [_mol_m-2_s-1],AJ 1.2,6.4582470768982665,0.05957468058837946,-0.26283875847946625,13.179332912276,80,0.09929113431396577,6.4582470768982665,1.0
Photosyntetic rate (A) [_mol_m-2_s-1],CMg,1.1920557594965022,0.17878266119972336,-0.5495932735005113,2.933704792493516,80,0.17878266119972336,1.1920557594965022,0.0
